source,spectral_type_string,spectral_type_code,J,H,Ks,W1,W2,JH,HK,JK,W1W2,KW1,KW2
2MASS J00001354+2554180,T4.5,84.5,15.063,14.731,14.836,14.211,13.605,0.33200000000000074,-0.10500000000000043,0.2270000000000003,0.6059999999999999,0.625,1.2309999999999999
2MASS J00001354+2554180,T5,85.0,15.063,14.731,14.836,14.211,13.605,0.33200000000000074,-0.10500000000000043,0.2270000000000003,0.6059999999999999,0.625,1.2309999999999999
2MASS J00011217+1535355,L3.7 INT-G,73.7,15.522,14.505,13.71,12.938,12.517,1.0169999999999995,0.7949999999999999,1.8119999999999994,0.42100000000000115,0.7720000000000002,1.1930000000000014
2MASS J00040288-6410358,L1 gamma,71.0,15.786,14.831,14.009,13.37,12.937,0.9550000000000001,0.8219999999999992,1.7769999999999992,0.43299999999999983,0.6390000000000011,1.072000000000001
2MASS J00040288-6410358,L2.3 VL-G,72.3,15.786,14.831,14.009,13.37,12.937,0.9550000000000001,0.8219999999999992,1.7769999999999992,0.43299999999999983,0.6390000000000011,1.072000000000001
2MASS J00043484-4044058,L4.5,74.5,13.109,12.055,11.396,,,1.0540000000000003,0.6589999999999989,1.7129999999999992,,,
2MASS J00043484-4044058,L5,75.0,13.109,12.055,11.396,,,1.0540000000000003,0.6589999999999989,1.7129999999999992,,,
2MASS J00100009-2031122,L0,70.0,14.134,13.368,12.882,12.505,12.278,0.766,0.48600000000000065,1.2520000000000007,0.2270000000000003,0.3769999999999989,0.6039999999999992
2MASS J00132229-1143006,T3 pec,83.0,16.349,15.682,15.69,15.585,14.356,0.6669999999999998,-0.007999999999999119,0.6590000000000007,1.229000000000001,0.10499999999999865,1.3339999999999996
2MASS J00135882-1816462,L1,71.0,16.537,15.892,15.04,14.551,14.155,0.6449999999999996,0.8520000000000003,1.4969999999999999,0.3960000000000008,0.488999999999999,0.8849999999999998
2MASS J00135882-1816462,L5 pec,75.0,16.537,15.892,15.04,14.551,14.155,0.6449999999999996,0.8520000000000003,1.4969999999999999,0.3960000000000008,0.488999999999999,0.8849999999999998
2MASS J00145575-4844171,L2.5,72.5,14.05,13.107,12.72,12.276,12.019,0.9430000000000014,0.3869999999999987,1.33,0.2569999999999997,0.44400000000000084,0.7010000000000005
2MASS J00145575-4844171,L2.5 pec,72.5,14.05,13.107,12.72,12.276,12.019,0.9430000000000014,0.3869999999999987,1.33,0.2569999999999997,0.44400000000000084,0.7010000000000005
2MASS J00150206+2959323,L7,77.0,16.158,15.226,14.482,13.691,13.384,0.9320000000000004,0.7440000000000015,1.676000000000002,0.3070000000000004,0.7909999999999986,1.097999999999999
2MASS J00150206+2959323,L7.5 pec (blue),77.5,16.158,15.226,14.482,13.691,13.384,0.9320000000000004,0.7440000000000015,1.676000000000002,0.3070000000000004,0.7909999999999986,1.097999999999999
2MASS J00154476+3516026,L1.0,71.0,13.88,12.892,12.264,11.763,11.534,0.9880000000000013,0.6280000000000001,1.6160000000000014,0.2289999999999992,0.5009999999999994,0.7299999999999986
2MASS J00154476+3516026,L2,72.0,13.88,12.892,12.264,11.763,11.534,0.9880000000000013,0.6280000000000001,1.6160000000000014,0.2289999999999992,0.5009999999999994,0.7299999999999986
2MASS J00165953-4056541,L3.5,73.5,15.32,14.206,13.432,12.808,12.437,1.1140000000000008,0.7739999999999991,1.888,0.37100000000000044,0.6240000000000006,0.995000000000001
2MASS J00165953-4056541,L4.5:,74.5,15.32,14.206,13.432,12.808,12.437,1.1140000000000008,0.7739999999999991,1.888,0.37100000000000044,0.6240000000000006,0.995000000000001
2MASS J00182834-6703130,L0.4 VL-G,70.4,15.457,14.48,13.71,13.143,12.79,0.9770000000000003,0.7699999999999996,1.7469999999999999,0.35300000000000153,0.5670000000000002,0.9200000000000017
2MASS J00184613-6356122,L2,72.0,15.22,14.23,13.61,13.264,13.004,0.9900000000000002,0.620000000000001,1.6100000000000012,0.2599999999999998,0.3460000000000001,0.6059999999999999
2MASS J00191296-6226005,L1.0 VL-G,71.0,15.64,14.618,13.96,13.348,12.956,1.0220000000000002,0.6579999999999995,1.6799999999999997,0.39200000000000124,0.6120000000000001,1.0040000000000013
2MASS J00193927-3724392,L2.2 INT-G,72.2,15.52,14.47,13.689,13.135,12.8,1.049999999999999,0.7810000000000006,1.8309999999999995,0.3349999999999991,0.5540000000000003,0.8889999999999993
2MASS J00193927-3724392,L3:,73.0,15.52,14.47,13.689,13.135,12.8,1.049999999999999,0.7810000000000006,1.8309999999999995,0.3349999999999991,0.5540000000000003,0.8889999999999993
2MASS J00250365+4759191,L4:,74.0,14.84,13.667,12.902,,11.608,1.173,0.7650000000000006,1.9380000000000006,,,1.2939999999999987
2MASS J00274197+0503417,L0: INT-G,70.0,16.189,15.288,14.964,14.587,14.071,0.9009999999999998,0.32399999999999984,1.2249999999999996,0.516,0.37700000000000067,0.8930000000000007
2MASS J00282091+2249050,L7:,77.0,15.61,14.47,13.78,13.113,12.855,1.1399999999999988,0.6900000000000013,1.83,0.2579999999999991,0.6669999999999998,0.9249999999999989
2MASS J00285545-1927165,L0.7,70.7,14.191,13.33,12.85,12.504,12.233,0.8610000000000007,0.4800000000000004,1.341000000000001,0.270999999999999,0.3460000000000001,0.6169999999999991
2MASS J00285545-1927165,L0:,70.0,14.191,13.33,12.85,12.504,12.233,0.8610000000000007,0.4800000000000004,1.341000000000001,0.270999999999999,0.3460000000000001,0.6169999999999991
