source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
2MASS J00001354+2554180,T4.5,84.5,14.731,15.063,14.836,14.211,13.605
2MASS J00001354+2554180,T5,85.0,14.731,15.063,14.836,14.211,13.605
2MASS J00011217+1535355,L3.7 INT-G,73.7,14.505,15.522,13.71,12.938,12.517
2MASS J00040288-6410358,L1 gamma,71.0,14.831,15.786,14.009,13.37,12.937
2MASS J00040288-6410358,L2.3 VL-G,72.3,14.831,15.786,14.009,13.37,12.937
2MASS J00043484-4044058,L4.5,74.5,12.055,13.109,11.396,,
2MASS J00043484-4044058,L5,75.0,12.055,13.109,11.396,,
2MASS J00100009-2031122,L0,70.0,13.368,14.134,12.882,12.505,12.278
2MASS J00132229-1143006,T3 pec,83.0,15.682,16.349,15.69,15.585,14.356
2MASS J00135882-1816462,L1,71.0,15.892,16.537,15.04,14.551,14.155
2MASS J00135882-1816462,L5 pec,75.0,15.892,16.537,15.04,14.551,14.155
2MASS J00145575-4844171,L2.5,72.5,13.107,14.05,12.72,12.276,12.019
2MASS J00145575-4844171,L2.5 pec,72.5,13.107,14.05,12.72,12.276,12.019
2MASS J00150206+2959323,L7,77.0,15.226,16.158,14.482,13.691,13.384
2MASS J00150206+2959323,L7.5 pec (blue),77.5,15.226,16.158,14.482,13.691,13.384
2MASS J00154476+3516026,L1.0,71.0,12.892,13.88,12.264,11.763,11.534
2MASS J00154476+3516026,L2,72.0,12.892,13.88,12.264,11.763,11.534
2MASS J00165953-4056541,L3.5,73.5,14.206,15.32,13.432,12.808,12.437
2MASS J00165953-4056541,L4.5:,74.5,14.206,15.32,13.432,12.808,12.437
2MASS J00182834-6703130,L0.4 VL-G,70.4,14.48,15.457,13.71,13.143,12.79
2MASS J00184613-6356122,L2,72.0,14.23,15.22,13.61,13.264,13.004
2MASS J00191296-6226005,L1.0 VL-G,71.0,14.618,15.64,13.96,13.348,12.956
2MASS J00193927-3724392,L2.2 INT-G,72.2,14.47,15.52,13.689,13.135,12.8
2MASS J00193927-3724392,L3:,73.0,14.47,15.52,13.689,13.135,12.8
2MASS J00250365+4759191,L4:,74.0,13.667,14.84,12.902,,11.608
2MASS J00274197+0503417,L0: INT-G,70.0,15.288,16.189,14.964,14.587,14.071
2MASS J00282091+2249050,L7:,77.0,14.47,15.61,13.78,13.113,12.855
2MASS J00285545-1927165,L0.7,70.7,13.33,14.191,12.85,12.504,12.233
2MASS J00285545-1927165,L0:,70.0,13.33,14.191,12.85,12.504,12.233
2MASS J00303013-1450333,L6: FLD-G,76.0,15.273,16.278,14.481,13.657,13.263
2MASS J00303013-1450333,L7,77.0,15.273,16.278,14.481,13.657,13.263
2MASS J00310928+5749364,L9,79.0,13.78,14.95,13.215,12.504,11.928
2MASS J00311925-3840356,L2 pec (blue),72.0,13.399,14.101,12.924,12.327,12.039
2MASS J00311925-3840356,L2.5,72.5,13.399,14.101,12.924,12.327,12.039
2MASS J00320509+0219017,L1.5,71.5,13.386,14.324,12.802,12.457,12.226
2MASS J00325584-4405058,L0 gamma,70.0,13.86,14.776,13.269,12.82,12.49
2MASS J00325584-4405058,L0: VL-G,70.0,13.86,14.776,13.269,12.82,12.49
2MASS J00325937+1410371,L9,79.0,15.648,16.83,14.946,14.225,13.68
2MASS J00332386-1521309,L1: FLD-G,71.0,14.208,15.286,13.41,12.794,12.479
2MASS J00332386-1521309,L4 beta,74.0,14.208,15.286,13.41,12.794,12.479
2MASS J00344300-4102266,L1.5 VL-G,71.5,14.807,15.707,14.084,13.518,13.136
2MASS J00345157+0523050,T6.5,86.5,15.443,15.535,,15.061,12.52
