source,ra,dec,reference,band,magnitude,magnitude_error,spectral_type_string,spectral_type_code,spectral_type_reference
ULAS J114925.58-014343.2,177.3569,-1.7287,Burn10.1885,WFCAM.H,18.17,0.03,T5,85.0,Burn10.1885
ULAS J114925.58-014343.2,177.3569,-1.7287,Burn10.1885,WFCAM.J,18.11,0.03,T5,85.0,Burn10.1885
ULAS J114925.58-014343.2,177.3569,-1.7287,Burn10.1885,WFCAM.K,18.345,0.199,T5,85.0,Burn10.1885
ULAS J114925.58-014343.2,177.3569,-1.7287,Burn10.1885,WFCAM.Y,19.297,0.071,T5,85.0,Burn10.1885
ULAS J114925.58-014343.2,177.3569,-1.7287,Burn10.1885,WISE.W1,17.492,0.088,T5,85.0,Burn10.1885
ULAS J114925.58-014343.2,177.3569,-1.7287,Burn10.1885,WISE.W2,16.12,0.081,T5,85.0,Burn10.1885
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,2MASS.H,12.709,0.023,L0:,70.0,Phan08
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,2MASS.J,13.409,0.022,L0:,70.0,Phan08
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,2MASS.Ks,12.19,0.021,L0:,70.0,Phan08
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,GAIA2.G,18.18967056274414,0.004011540186469008,L0:,70.0,Phan08
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,GAIA3.G,18.226667404174805,0.0018394068567258968,L0:,70.0,Phan08
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,GAIA3.Grp,16.63080406188965,0.004203252288923254,L0:,70.0,Phan08
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,WISE.W1,11.874,0.012,L0:,70.0,Phan08
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,WISE.W2,11.635,0.009,L0:,70.0,Phan08
DENIS-P J1756561-480509,269.2342,-48.086,Phan08,WISE.W3,11.061,0.124,L0:,70.0,Phan08
PSO J024.4369+09.1360,24.4372,9.1366,Skrz16,WFCAM.H,16.144,0.017,T3.5,83.5,Best20.257
PSO J024.4369+09.1360,24.4372,9.1366,Skrz16,WFCAM.J,16.422,0.011,T3.5,83.5,Best20.257
PSO J024.4369+09.1360,24.4372,9.1366,Skrz16,WFCAM.K,16.005,0.027,T3.5,83.5,Best20.257
PSO J024.4369+09.1360,24.4372,9.1366,Skrz16,WFCAM.Y,17.659,0.02,T3.5,83.5,Best20.257
PSO J024.4369+09.1360,24.4372,9.1366,Skrz16,WISE.W1,15.603,0.024,T3.5,83.5,Best20.257
PSO J024.4369+09.1360,24.4372,9.1366,Skrz16,WISE.W2,14.464,0.02,T3.5,83.5,Best20.257
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,2MASS.H,15.587,0.135,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,2MASS.J,16.23,0.1,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,2MASS.Ks,14.85,0.11,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,GAIA2.G,21.2565975189209,0.02461140431056956,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,PAN-STARRS/PS1.i,20.85,0.03,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,PAN-STARRS/PS1.r,23.16,0.08,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,PAN-STARRS/PS1.y,18.33,0.02,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,PAN-STARRS/PS1.z,19.32,0.01,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,WFCAM.J,16.249,0.012,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,WFCAM.K,15.005,0.012,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,WISE.W1,14.582,0.016,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,WISE.W2,14.387,0.018,L2,72.0,Hawl02
SDSS J161420.50+004643.6,243.585,0.7785,Hawl02,WISE.W3,12.378,0.488,L2,72.0,Hawl02
SDSS J094903.15+264944.2,147.2633,26.8288,Schm10.1808,PAN-STARRS/PS1.i,20.61,0.03,L0,70.0,Schm10.1808
SDSS J094903.15+264944.2,147.2633,26.8288,Schm10.1808,PAN-STARRS/PS1.y,18.09,0.02,L0,70.0,Schm10.1808
SDSS J094903.15+264944.2,147.2633,26.8288,Schm10.1808,PAN-STARRS/PS1.z,19.08,0.02,L0,70.0,Schm10.1808
SDSS J094903.15+264944.2,147.2633,26.8288,Schm10.1808,WFCAM.J,16.231,0.012,L0,70.0,Schm10.1808
