source,spectral_type_string,2MASS.H,2MASS.J,2MASS.Ks,ACAM.i,ACAM.z,Cousins.I,Cousins.R,DENIS.I,DENIS.J,DENIS.Ks,GAIA2.G,GAIA2.Grp,GAIA3.G,GAIA3.Grp,GALEX.NUV,IRAC.I1,IRAC.I2,IRAC.I3,IRAC.I4,JWST/MIRI.F1000W,JWST/MIRI.F1280W,JWST/MIRI.F1500W,JWST/MIRI.F1800W,JWST/MIRI.F2100W,Johnson.V,MIPS.24mu,NACO.Lp,NICMOS1.F090M,NICMOS1.F110W,NIRI.Y,NSFCam.H,NSFCam.J,NSFCam.K,NSFCam.Lp,NSFCam.Mp,PAN-STARRS/PS1.g,PAN-STARRS/PS1.i,PAN-STARRS/PS1.r,PAN-STARRS/PS1.y,PAN-STARRS/PS1.z,SDSS.g,SDSS.i,SDSS.r,SDSS.u,SDSS.z,UFTI.H,UFTI.J,UFTI.K,UFTI.Y,UKIDSS.H,UKIDSS.J,UKIDSS.K,UKIDSS.Y,VISTA.H,VISTA.J,VISTA.Ks,VISTA.Y,VisAO.Ys,WFCAM.H,WFCAM.J,WFCAM.K,WFCAM.Y,WISE.W1,WISE.W2,WISE.W3,WISE.W4,Wircam.Y
1RXS J034231.8+121622 B,L0:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.95,,,,,
1RXS J160929.1-210524B,L4 gamma,,,,,,,,,,,,,,,,12.88,14.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.86,17.85,,,,,,,
1RXS J235133.3+312720 B,L0::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.637,15.333,13.93,16.165,,,,,
2MASS J00001354+2554180,T4.5,14.731,15.063,14.836,,,,,,,,,,,,,13.72,13.07,,,,,,,,,,,,,,,,,13.03,,,,,17.42,19.17,25.855,23.141,25.773,25.634,18.455,,,,,,,,,,,,,,14.74,14.73,14.82,15.8,14.211,13.605,10.282,8.831,
2MASS J00001354+2554180,T5,14.731,15.063,14.836,,,,,,,,,,,,,13.72,13.07,,,,,,,,,,,,,,,,,13.03,,,,,17.42,19.17,25.855,23.141,25.773,25.634,18.455,,,,,,,,,,,,,,14.74,14.73,14.82,15.8,14.211,13.605,10.282,8.831,
2MASS J00011217+1535355,L3.7 INT-G,14.505,15.522,13.71,,,,,,,,20.798118591308594,19.08988380432129,20.770557403564453,19.099563598632812,,,,,,,,,,,,,,,,,,,,,,,20.37,,17.81,18.85,,,,,,,,,,,,,,,,,,,14.483,15.462,13.623,16.877,12.938,12.517,11.498,8.953,
2MASS J00040288-6410358,L1 gamma,14.831,15.786,14.009,,,,,,,,21.014060974121094,,20.969831466674805,19.400436401367188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37,12.937,12.086,9.161,
2MASS J00040288-6410358,L2.3 VL-G,14.831,15.786,14.009,,,,,,,,21.014060974121094,,20.969831466674805,19.400436401367188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37,12.937,12.086,9.161,
2MASS J00043484-4044058,L4.5,12.055,13.109,11.396,,,,,,,,18.35306739807129,16.638212203979492,18.39777374267578,16.704309463500977,,10.36,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14,13.06,11.36,14.32,,,9.803,,
2MASS J00043484-4044058,L5,12.055,13.109,11.396,,,,,,,,18.35306739807129,16.638212203979492,18.39777374267578,16.704309463500977,,10.36,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14,13.06,11.36,14.32,,,9.803,,
